,Time,Title,Type,RemoteAddr,Protocol,BitsPerSecond,ConnectionsPerSecond,PacketsPerSecond,AverageLatency
0,2021-11-13T16:39:51Z,,TestResult,127.0.0.1,TCP,150.14M,1,--  ,--  
1,2021-11-13T16:39:52Z,,TestResult,127.0.0.1,TCP,27.42G,0,--  ,--  
2,2021-11-13T16:39:53Z,,TestResult,127.0.0.1,TCP,29.06G,0,--  ,--  
3,2021-11-13T16:39:54Z,,TestResult,127.0.0.1,TCP,32.04G,0,--  ,--  
4,2021-11-13T16:39:55Z,,TestResult,127.0.0.1,TCP,33.95G,0,--  ,--  
5,2021-11-13T16:39:56Z,,TestResult,127.0.0.1,TCP,31.45G,0,--  ,--  
6,2021-11-13T16:39:57Z,,TestResult,127.0.0.1,TCP,25.97G,0,--  ,--  
7,2021-11-13T16:39:58Z,,TestResult,127.0.0.1,TCP,30.19G,0,--  ,--  
8,2021-11-13T16:39:59Z,,TestResult,127.0.0.1,TCP,31.54G,0,--  ,--  
9,2021-11-13T16:40:00Z,,TestResult,127.0.0.1,TCP,34.41G,0,--  ,--  
10,2021-11-13T16:40:01Z,,TestResult,127.0.0.1,TCP,32.13G,0,--  ,--  
11,2021-11-13T16:40:02Z,,TestResult,127.0.0.1,TCP,31.50G,0,--  ,--  
12,2021-11-13T16:40:03Z,,TestResult,127.0.0.1,TCP,33.59G,0,--  ,--  
13,2021-11-13T16:40:04Z,,TestResult,127.0.0.1,TCP,29.54G,0,--  ,--  
14,2021-11-13T16:40:05Z,,TestResult,127.0.0.1,TCP,32.73G,0,--  ,--  
15,2021-11-13T16:40:06Z,,TestResult,127.0.0.1,TCP,32.58G,0,--  ,--  
16,2021-11-13T16:40:07Z,,TestResult,127.0.0.1,TCP,29.89G,0,--  ,--  
17,2021-11-13T16:40:08Z,,TestResult,127.0.0.1,TCP,33.46G,0,--  ,--  
18,2021-11-13T16:40:09Z,,TestResult,127.0.0.1,TCP,31.14G,0,--  ,--  
19,2021-11-13T16:40:10Z,,TestResult,127.0.0.1,TCP,31.64G,0,--  ,--  
20,2021-11-13T16:40:11Z,,TestResult,127.0.0.1,TCP,32.59G,0,--  ,--  
21,2021-11-13T16:40:12Z,,TestResult,127.0.0.1,TCP,32.68G,0,--  ,--  
22,2021-11-13T16:40:13Z,,TestResult,127.0.0.1,TCP,30.56G,0,--  ,--  
23,2021-11-13T16:40:14Z,,TestResult,127.0.0.1,TCP,28.15G,0,--  ,--  
24,2021-11-13T16:40:15Z,,TestResult,127.0.0.1,TCP,31.44G,0,--  ,--  
25,2021-11-13T16:40:16Z,,TestResult,127.0.0.1,TCP,33.22G,0,--  ,--  
26,2021-11-13T16:40:17Z,,TestResult,127.0.0.1,TCP,33.40G,0,--  ,--  
27,2021-11-13T16:40:18Z,,TestResult,127.0.0.1,TCP,30.79G,0,--  ,--  
28,2021-11-13T16:40:19Z,,TestResult,127.0.0.1,TCP,30.79G,0,--  ,--  
29,2021-11-13T16:40:20Z,,TestResult,127.0.0.1,TCP,25.83G,0,--  ,--  
30,2021-11-13T16:40:21Z,,TestResult,127.0.0.1,TCP,32G,0,--  ,--  
31,2021-11-13T16:40:22Z,,TestResult,127.0.0.1,TCP,31.63G,0,--  ,--  
32,2021-11-13T16:40:23Z,,TestResult,127.0.0.1,TCP,32.92G,0,--  ,--  
33,2021-11-13T16:40:24Z,,TestResult,127.0.0.1,TCP,24.81G,0,--  ,--  
34,2021-11-13T16:40:25Z,,TestResult,127.0.0.1,TCP,31.94G,0,--  ,--  
35,2021-11-13T16:40:26Z,,TestResult,127.0.0.1,TCP,33.82G,0,--  ,--  
36,2021-11-13T16:40:27Z,,TestResult,127.0.0.1,TCP,28.83G,0,--  ,--  
37,2021-11-13T16:40:28Z,,TestResult,127.0.0.1,TCP,32.93G,0,--  ,--  
38,2021-11-13T16:40:29Z,,TestResult,127.0.0.1,TCP,33.44G,0,--  ,--  
39,2021-11-13T16:40:30Z,,TestResult,127.0.0.1,TCP,30.40G,0,--  ,--  
40,2021-11-13T16:40:31Z,,TestResult,127.0.0.1,TCP,32.74G,0,--  ,--  
41,2021-11-13T16:40:32Z,,TestResult,127.0.0.1,TCP,28.11G,0,--  ,--  
42,2021-11-13T16:40:33Z,,TestResult,127.0.0.1,TCP,32.76G,0,--  ,--  
43,2021-11-13T16:40:34Z,,TestResult,127.0.0.1,TCP,30.72G,0,--  ,--  
44,2021-11-13T16:40:35Z,,TestResult,127.0.0.1,TCP,29.44G,0,--  ,--  
45,2021-11-13T16:40:36Z,,TestResult,127.0.0.1,TCP,33.77G,0,--  ,--  
46,2021-11-13T16:40:37Z,,TestResult,127.0.0.1,TCP,28.40G,0,--  ,--  
47,2021-11-13T16:40:38Z,,TestResult,127.0.0.1,TCP,32.57G,0,--  ,--  
48,2021-11-13T16:40:39Z,,TestResult,127.0.0.1,TCP,29.41G,0,--  ,--  
49,2021-11-13T16:40:40Z,,TestResult,127.0.0.1,TCP,33.61G,0,--  ,--  
50,2021-11-13T16:40:41Z,,TestResult,127.0.0.1,TCP,33.45G,0,--  ,--  
51,2021-11-13T16:40:42Z,,TestResult,127.0.0.1,TCP,33.24G,0,--  ,--  
52,2021-11-13T16:40:43Z,,TestResult,127.0.0.1,TCP,30.61G,0,--  ,--  
53,2021-11-13T16:40:44Z,,TestResult,127.0.0.1,TCP,29.90G,0,--  ,--  
54,2021-11-13T16:40:45Z,,TestResult,127.0.0.1,TCP,28.55G,0,--  ,--  
55,2021-11-13T16:40:46Z,,TestResult,127.0.0.1,TCP,33.21G,0,--  ,--  
56,2021-11-13T16:40:47Z,,TestResult,127.0.0.1,TCP,31.41G,0,--  ,--  
57,2021-11-13T16:40:48Z,,TestResult,127.0.0.1,TCP,33.26G,0,--  ,--  
58,2021-11-13T16:40:49Z,,TestResult,127.0.0.1,TCP,31.14G,0,--  ,--  
59,2021-11-13T16:40:50Z,,TestResult,127.0.0.1,TCP,31.98G,0,--  ,--  
60,2021-11-13T16:40:51Z,,TestResult,127.0.0.1,TCP,29.25G,0,--  ,--  
